"ignore","type","question","compare","against","predict"
FALSE,high,out.happy,obvious_failure(main),uniform,less
FALSE,high,out.regret,obvious_failure(main),uniform,greater

TRUE,followup,out.happy,obvious_failure(main),uniform,greater
TRUE,followup,out.regret,obvious_failure(main),uniform,less
FALSE,followup,out.expected,8638,uniform,less
FALSE,followup,out.unexpected,8638,uniform,greater

FALSE,high,out.expected,unexpected_failure,uniform,less
FALSE,high,out.unexpected,unexpected_failure,uniform,greater
FALSE,followup,out.unexpected,57614,uniform,greater
FALSE,followup,out.unexpected,40550,uniform,greater
FALSE,high,out.expected,obvious_failure(main),uniform,less
FALSE,high,out.unexpected,obvious_failure(main),uniform,greater

FALSE,high,out.fair,unexpected_failure,obvious_failure(main),greater
FALSE,high,out.unfair,unexpected_failure,obvious_failure(main),less
FALSE,high,out.sense,unexpected_failure,obvious_failure(main),greater
FALSE,high,out.broken,unexpected_failure,obvious_failure(main),less
FALSE,low,out.good,unexpected_failure,obvious_failure(main),greater
FALSE,low,out.bad,unexpected_failure,obvious_failure(main),less
FALSE,low,out.happy,unexpected_failure,obvious_failure(main),less
FALSE,low,out.regret,unexpected_failure,obvious_failure(main),greater
FALSE,low,out.expected,unexpected_failure,obvious_failure(main),greater
FALSE,low,out.unexpected,unexpected_failure,obvious_failure(main),less

FALSE,followup,out.fair,unexpected_failure,8638(main),greater
FALSE,followup,out.unfair,unexpected_failure,8638(main),less
FALSE,followup,out.sense,unexpected_failure,8638(main),greater
FALSE,followup,out.broken,unexpected_failure,8638(main),less
FALSE,followup,out.good,unexpected_failure,8638(main),greater
FALSE,followup,out.bad,unexpected_failure,8638(main),less
FALSE,followup,out.happy,unexpected_failure,8638(main),less
FALSE,followup,out.regret,unexpected_failure,8638(main),greater
FALSE,followup,out.expected,unexpected_failure,8638(main),greater
FALSE,followup,out.unexpected,unexpected_failure,8638(main),less

FALSE,followup,out.fair,57614,8638(main),greater
FALSE,followup,out.unfair,57614,8638(main),less
FALSE,followup,out.sense,57614,8638(main),greater
FALSE,followup,out.broken,57614,8638(main),less
FALSE,followup,out.good,57614,8638(main),greater
FALSE,followup,out.bad,57614,8638(main),less
FALSE,followup,out.happy,57614,8638(main),less
FALSE,followup,out.regret,57614,8638(main),greater
FALSE,followup,out.expected,57614,8638(main),greater
FALSE,followup,out.unexpected,57614,8638(main),less

FALSE,high,out.good,expected_success,obvious_success(main),less
FALSE,high,out.bad,expected_success,obvious_success(main),greater
FALSE,high,out.happy,expected_success,obvious_success(main),less
FALSE,high,out.regret,expected_success,obvious_success(main),greater

TRUE,followup,out.good,expected_success,47371(main)+9114(main),less
TRUE,followup,out.bad,expected_success,47371(main)+9114(main),greater
TRUE,followup,out.happy,expected_success,47371(main)+9114(main),less
TRUE,followup,out.regret,expected_success,47371(main)+9114(main),greater

FALSE,followup,out.good,expected_success,47371(main),less
FALSE,followup,out.bad,expected_success,47371(main),greater
FALSE,followup,out.happy,expected_success,47371(main),less
FALSE,followup,out.regret,expected_success,47371(main),greater

FALSE,followup,out.good,expected_success,9114(main),less
FALSE,followup,out.bad,expected_success,9114(main),greater
FALSE,followup,out.happy,expected_success,9114(main),less
FALSE,followup,out.regret,expected_success,9114(main),greater

TRUE,followup,out.good,expected_success,obvious_success(main),greater
TRUE,followup,out.bad,expected_success,obvious_success(main),less
TRUE,followup,out.happy,expected_success,obvious_success(main),greater
TRUE,followup,out.regret,expected_success,obvious_success(main),less

FALSE,high,out.fair,unexpected_failure,unexpected_success,less
FALSE,high,out.unfair,unexpected_failure,unexpected_success,greater
FALSE,high,out.sense,unexpected_failure,unexpected_success,less
FALSE,high,out.broken,unexpected_failure,unexpected_success,greater

FALSE,high,out.good,unexpected_failure,expected_failure,less
FALSE,high,out.bad,unexpected_failure,expected_failure,greater
FALSE,high,out.happy,unexpected_failure,expected_failure,less
FALSE,high,out.regret,unexpected_failure,expected_failure,greater

FALSE,high,out.good,obvious_failure(main),expected_failure,less
FALSE,high,out.bad,obvious_failure(main),expected_failure,greater
FALSE,high,out.happy,obvious_failure(main),expected_failure,less
FALSE,high,out.regret,obvious_failure(main),expected_failure,greater

FALSE,high,out.good,expected_success,unexpected_success,less
FALSE,high,out.bad,expected_success,unexpected_success,greater
FALSE,high,out.happy,expected_success,unexpected_success,less
FALSE,high,out.regret,expected_success,unexpected_success,greater

FALSE,high,out.good,obvious_success(main),unexpected_success,less
FALSE,high,out.bad,obvious_success(main),unexpected_success,greater
FALSE,high,out.happy,obvious_success(main),unexpected_success,less
FALSE,high,out.regret,obvious_success(main),unexpected_success,greater

FALSE,followup,opt.stakes,market,uniform,less
FALSE,followup,opt.stakes,monster_attack,uniform,less
FALSE,followup,opt.stakes,threatened_innocents,uniform,less
FALSE,followup,opt.nobad,58403,uniform,less
FALSE,followup,opt.nobad,99500,uniform,less
FALSE,followup,opt.nogood,58403,uniform,greater
FALSE,followup,opt.nogood,99500,uniform,greater

TRUE,followup,out.good,unexpected_failure,obvious_failure(main),less
TRUE,followup,out.bad,unexpected_failure,obvious_failure(main),greater

FALSE,pctchosen,motives,all,speed,>0.5
FALSE,pctchosen,motives,all,avatar,>0.5
FALSE,pctchosen,motives,all,power,>0.5
FALSE,pctchosen,judge.good,all,avatar,>0.5
FALSE,pctchosen,judge.good,all,power,>0.5
FALSE,pctchosen,judge.good,all,progress,>0.5
FALSE,pctchosen,judge.bad,all,avatar,>0.5
FALSE,pctchosen,judge.bad,all,no-control,>0.5
FALSE,pctchosen,judge.bad,all,power,>0.5
FALSE,pctchosen,judge.bad,all,progress,>0.5
FALSE,pctchosen,consistency,!no-exp,variable,>0.7

FALSE,high,out.good,57614,58403,less
FALSE,high,out.bad,57614,58403,greater
FALSE,high,out.happy,57614,58403,less
